bay_id,rd_seg_dsc,lat,lon
3064,Augusta Avenue between Pearl River Road and Wattle Road,-37.81111059,144.9574669
2687,Grant Street between Dodds Street and Sturt Street,-37.8036326,144.9496158
3477,,-37.80783816,144.9612067
850,Barkly Street between Canning Street and Rathdowne Street,-37.80933838,144.96943
1512,Cardigan Street between Faraday Street and Elgin Street,-37.81970112,144.9562119
1280,Rathdowne Street between Neill Street and Princes Street,-37.81313512,144.954355
5919,Queensberry Street between Curzon Street and Abbotsford Street,-37.80280263,144.9672815
3939,Adderley Street between Roden Street and Hawke Street,-37.80401038,144.9554808
7058,Leopold Street between Toorak Road and Domain Road,-37.80489329,144.9591379
3314,Station Street between Kay Street and Princes Street,-37.80981619,144.958695
4555,Little Lothian Street North from Lothian Street,-37.82305212,144.9656243
4551,Queensberry Street between Chetwynd Street and Leveson Street,-37.82307407,144.9657548
981,Elgin Street between Nicholson Street and Canning Street,-37.81691389,144.9644843
3495,Drummond Street between Pelham Street and Grattan Street,-37.80827826,144.9596952
909,Keppel Street between Lygon Street and Palmerston Street,-37.81450217,144.9688768
6208,Childers Street between Ormond Street and Kensington Road,-37.81482359,144.9453314
3345,Rathdowne Street between Carlton Street and Faraday Street,-37.81047734,144.9568463
2547,Palmerston Street between Drummond Street and Lygon Street,-37.81332025,144.9587044
3404,Palmerston Street between Rathdowne Street and Drummond Street,-37.80768038,144.966405
6283,Kensington Road between Derby Street and Altona Street,-37.81916413,144.9486245
5874,Armadale Street from St Kilda Road,-37.79848168,144.9654877
6745,Barry Street between Pelham Street and Grattan Street,-37.80848205,144.959677
587,Cardigan Street between Faraday Street and Elgin Street,-37.81417789,144.9742469
4946,Kensington Road between Mercantile Parade and Hobsons Road,-37.82973357,144.9677335
2586,Rathdowne Street between Faraday Street and Elgin Street,-37.81392046,144.9566027
6190,Royal Parade between Leonard Street and Walker Street,-37.82016441,144.9423597
6613,Domain Road between Park Street and Leopold Street,-37.81408226,144.9416512
8297,Macaulay Road between Bent Street and Albermarle Street,-37.80733792,144.9589906
3857,St Kilda Road between Armadale Street and Commercial Road,-37.80729075,144.9548973
5253,Intersection of Peel Street and Princess Street,-37.81196776,144.9516389
4266,Provost Street between Curzon Street and Abbotsford Street,-37.80942924,144.9557778
5917,Howard Street between Queensberry Street and Courtney Street,-37.80279549,144.9672163
6612,Pasley Street South between Punt Road and Pasley Street,-37.81411372,144.9415683
2309,Balston Street between City Road and Kavanagh Street,-37.81067521,144.968087
6630,Moubray Street between St Kilda Road and Punt Road,-37.81391611,144.9424669
2291,Cardigan Street between Elgin Street and Keppel Street,-37.80975651,144.9705452
2006,Palmerston Street between Canning Street and Rathdowne Street,-37.81080727,144.9635679
1690,Barkly Street between Canning Street and Rathdowne Street,-37.81627879,144.9599005
6893,Intersection of Arden Street and Munster Terrace,-37.79541917,144.9647606
726,Cardigan Street between Elgin Street and Keppel Street,-37.80923537,144.9693825
6017,Victoria Street between Cobden Street and Peel Street,-37.82057297,144.9492604
6352,Royal Parade between Ievers Street and Walker Street,-37.8213338,144.9506269
6424,Childers Street between Ormond Street and Kensington Road,-37.82102321,144.9462295
6394,Dryburgh Street between O'Shanassy Street and Haines Street,-37.82004401,144.944426
2371,Grant Street between Wells Street and Dodds Street,-37.81400453,144.956654
1275,Cardigan Street between Faraday Street and Elgin Street,-37.81332856,144.954194
2684,Swanston Street between Elgin Street and College Crescent,-37.80372097,144.9494102
5363,Morrison Place between Victoria Parade and Albert Street,-37.81068319,144.9729615
652,Drummond Street between Pelham Street and Grattan Street,-37.80854402,144.9717461
6329,Royal Parade between Leonard Street and Walker Street,-37.81884402,144.9499249
6328,Alexandra Avenue between Swan Street Bridge and Anderson Street,-37.8187948,144.9498862
5445,Royal Parade between Ievers Street and Park Street,-37.81296147,144.9779147
4731,Boathouse Drive between St Kilda Road and Alexandra Avenue,-37.82524996,144.9630604
5393,Dodds Street between Miles Street and Grant Street,-37.810153,144.9756832
629,O'Connell Street between Victoria Street and Queensberry Street,-37.80888641,144.9717781
982,Elgin Street between Nicholson Street and Canning Street,-37.81691519,144.9642796
6632,Alexandra Avenue between Anderson Street and Walsh Street,-37.81402463,144.9426339
719,Palmerston Street between Lygon Street and Keppel Street,-37.80952821,144.9692747
7053,Haines Street between Abbotsford Street and Dryburgh Street,-37.80565352,144.9594879
3564,Harbour Esplanade between Bourke Street and La Trobe Street,-37.80887229,144.9534031
8295,McNamara Mews between Bateman Road and The Crescent,-37.81191659,144.959615
3534,Hartley Street between Lorimer Street and Westgate Freeway,-37.80753134,144.9586511
625,Faraday Street between Rathdowne Street and Drummond Street,-37.80903752,144.9718479
5858,Lansdowne Street between Cathedral Place and Albert Street,-37.79841449,144.9648645
6209,Sturt Street between Miles Street and Coventry Street,-37.81480383,144.9453999
8315,Munster Terrace between Victoria Street and Queensberry Street,-37.80968197,144.9837853
2325,Cemetery Road East between College Crescent and Lygon Street,-37.81116989,144.9663779
6104,Dodds Street between Miles Street and Grant Street,-37.81924644,144.9458386
1680,Neill Street between Rathdowne Street and Canning Street,-37.81575914,144.9618969
877,Keppel Street between Lygon Street and Palmerston Street,-37.81221754,144.9677054
6009,Roden Street between Spencer Street and King Street,-37.81998414,144.9512977
6073,Leicester Street between Pelham Street and Grattan Street,-37.81877878,144.9477981
6869,Hawke Street between Ireland Street and Spencer Street,-37.79471112,144.9583852
6334,MacAulay Road between Haines Street and Fogarty Street,-37.81960519,144.9505258
2714,Carlton Street between Canning Street and Rathdowne Street,-37.80782281,144.9601077
6919,George Street between Hoddle Street and Simpson Street,-37.82204238,144.9632376
2670,Princes Street between Canning Street and Rathdowne Street,-37.80409428,144.9493444
5743,McAllister Mews between Stockmans Way and Gatehouse Drive,-37.81096447,144.9768756
1849,Kay Street between Nicholson Street and Station Street,-37.81424026,144.9594621
2229,Canning Street between Faraday Street and Elgin Street,-37.81203096,144.9552065
1899,,-37.81661084,144.9572987
6293,Lorimer Street between West Gate Bridge and Todd Road,-37.82010914,144.948661
6330,Henry Street between Derby Street and Altona Street,-37.81938414,144.9503503
1090,Faraday Street between Drummond Street and Lygon Street,-37.81638084,144.9613336
